# soft core potential 

soft_core_lj 
N 10006  R  0.0001  2.0
  151    0.029000000    4.000000000    0.000000000
  152    0.029200000    4.000000000    0.000000000
  153    0.029400000    4.000000000    0.000000000
  154    0.029600000    4.000000000    0.000000000
  155    0.029800000    4.000000000    0.000000000
  156    0.030000000    4.000000000    0.000000000
  157    0.030200000    4.000000000    0.000000000
  158    0.030400000    4.000000000    0.000000000
  159    0.030600000    4.000000000    0.000000000
  160    0.030800000    4.000000000    0.000000000
  161    0.031000000    4.000000000    0.000000000
  162    0.031200000    4.000000000    0.000000000
  163    0.031400000    4.000000000    0.000000000
  164    0.031600000    4.000000000    0.000000000
  165    0.031800000    4.000000000    0.000000000
  166    0.032000000    4.000000000    0.000000000
  167    0.032200000    4.000000000    0.000000000
  168    0.032400000    4.000000000    0.000000000
  169    0.032600000    4.000000000    0.000000000
  170    0.032800000    4.000000000    0.000000000
  171    0.033000000    4.000000000    0.000000000
  172    0.033200000    4.000000000    0.000000000
  173    0.033400000    4.000000000    0.000000000
  174    0.033600000    4.000000000    0.000000000
  175    0.033800000    4.000000000    0.000000000
  176    0.034000000    4.000000000    0.000000000
  177    0.034200000    4.000000000    0.000000000
  178    0.034400000    4.000000000    0.000000000
  179    0.034600000    4.000000000    0.000000000
  180    0.034800000    4.000000000    0.000000000
  181    0.035000000    4.000000000    0.000000000
  182    0.035200000    4.000000000    0.000000000
  183    0.035400000    4.000000000    0.000000000
  184    0.035600000    4.000000000    0.000000000
  185    0.035800000    4.000000000    0.000000000
  186    0.036000000    4.000000000    0.000000000
  187    0.036200000    4.000000000    0.000000000
  188    0.036400000    4.000000000    0.000000000
  189    0.036600000    4.000000000    0.000000000
  190    0.036800000    4.000000000    0.000000000
  191    0.037000000    4.000000000    0.000000000
  192    0.037200000    4.000000000    0.000000000
  193    0.037400000    4.000000000    0.000000000
  194    0.037600000    4.000000000    0.000000000
  195    0.037800000    4.000000000    0.000000000
  196    0.038000000    4.000000000    0.000000000
  197    0.038200000    4.000000000    0.000000000
  198    0.038400000    4.000000000    0.000000000
  199    0.038600000    4.000000000    0.000000000
  200    0.038800000    4.000000000    0.000000000
  201    0.039000000    4.000000000    0.000000000
  202    0.039200000    4.000000000    0.000000000
  203    0.039400000    4.000000000    0.000000000
  204    0.039600000    4.000000000    0.000000000
  205    0.039800000    4.000000000    0.000000000
  206    0.040000000    4.000000000    0.000000000
  207    0.040200000    4.000000000    0.000000000
  208    0.040400000    4.000000000    0.000000000
  209    0.040600000    4.000000000    0.000000000
  210    0.040800000    4.000000000    0.000000000
  211    0.041000000    4.000000000    0.000000000
  212    0.041200000    4.000000000    0.000000000
  213    0.041400000    4.000000000    0.000000000
  214    0.041600000    4.000000000    0.000000000
