15	12	E	-6594522.576403352	167
transitionprobs	10	12	0.03882631057730354
transitionprobs	10	13	0.014355538368280364
transitionprobs	10	14	5.004767433740636E-4
transitionprobs	10	15	7.159077449365578E-4
transitionprobs	11	1	5.689706675970104E-4
transitionprobs	11	2	0.004124277973233549
transitionprobs	11	3	4.992236806074696E-7
transitionprobs	11	4	1.1911525969889714E-5
transitionprobs	11	5	2.4247386944820017E-5
transitionprobs	11	6	0.003510631032594699
transitionprobs	11	7	0.0027352588282117036
transitionprobs	11	8	0.005740760364323542
transitionprobs	11	9	0.07625535810329613
transitionprobs	11	10	0.04244939807021448
transitionprobs	11	11	0.8415014898426042
transitionprobs	11	12	0.020206628004376278
transitionprobs	11	13	8.785730515155711E-5
transitionprobs	11	14	0.0027257052517299495
transitionprobs	11	15	5.7006420071696716E-5
transitionprobs	12	1	0.024317245803796884
transitionprobs	12	2	0.0035382855219521195
transitionprobs	12	3	5.026095241307235E-4
transitionprobs	12	4	0.004878993915185369
transitionprobs	12	5	0.0013904902692606093
transitionprobs	12	6	0.013598404519892382
transitionprobs	12	7	0.03545745142979529
transitionprobs	12	8	0.08095951077562817
transitionprobs	12	9	0.01054353004143913
transitionprobs	12	10	0.028856335769132036
transitionprobs	12	11	0.0050930043314236905
transitionprobs	12	12	0.781296784998543
transitionprobs	12	13	0.006332192331969585
transitionprobs	12	14	0.0012824706273919636
transitionprobs	12	15	0.0019526901404590489
transitionprobs	13	1	2.705340719047032E-8
transitionprobs	13	2	1.4626751438976448E-4
transitionprobs	13	3	8.0038149971122E-6
transitionprobs	13	4	9.855711793642652E-5
transitionprobs	13	5	0.0
transitionprobs	13	6	1.2110022988938245E-4
transitionprobs	13	7	6.0532224810789636E-5
transitionprobs	13	8	0.00218192886520431
transitionprobs	13	9	0.001009624246393388
transitionprobs	13	10	0.0061968289994297435
transitionprobs	13	11	7.712418683489624E-8
transitionprobs	13	12	0.003950142554943458
transitionprobs	13	13	0.9777479629008927
transitionprobs	13	14	0.007518284291952033
transitionprobs	13	15	9.606630615666179E-4
transitionprobs	14	1	4.5528746365558487E-4
transitionprobs	14	2	0.0017819226034839115
transitionprobs	14	3	1.4648207815001906E-4
transitionprobs	14	4	1.8280355621318287E-4
transitionprobs	14	5	1.2372460382699568E-5
transitionprobs	14	6	9.76795843500959E-4
transitionprobs	14	7	0.0015512957890057297
transitionprobs	14	8	7.16447987183975E-4
transitionprobs	14	9	0.0014376281685879206
transitionprobs	14	10	0.0010272360028010048
transitionprobs	14	11	0.0016144772686429224
transitionprobs	14	12	0.0024868154672336162
transitionprobs	14	13	0.03080551938638988
transitionprobs	14	14	0.9559501867599003
transitionprobs	14	15	8.547291648680223E-4
transitionprobs	15	1	3.672361199325316E-4
transitionprobs	15	2	4.791164177924618E-5
transitionprobs	15	3	7.976248355642397E-5
transitionprobs	15	4	4.845259444765272E-5
transitionprobs	15	5	1.6020253474494004E-5
transitionprobs	15	6	0.0033604613219803373
transitionprobs	15	7	0.010981250017521626
transitionprobs	15	8	0.023616318938938063
transitionprobs	15	9	0.004049941758525226
transitionprobs	15	10	0.001180395320564379
transitionprobs	15	11	6.464620783517753E-5
transitionprobs	15	12	0.003826702348606458
transitionprobs	15	13	0.00330043086482935
transitionprobs	15	14	7.105633067196139E-4
transitionprobs	15	15	0.9483499068212895
emissionprobs	1	0	Dnase	0	0.9874703401631966
emissionprobs	1	0	Dnase	1	0.012529659836803484
emissionprobs	1	1	H2az	0	0.9982042165628648
emissionprobs	1	1	H2az	1	0.0017957834371351944
emissionprobs	1	2	H3k27ac	0	0.9837074708304278
emissionprobs	1	2	H3k27ac	1	0.016292529169572148
emissionprobs	1	3	H3k27me3	0	0.9998934961094014
emissionprobs	1	3	H3k27me3	1	1.0650389059868655E-4
emissionprobs	1	4	H3k36me3	0	0.12937484878625394
emissionprobs	1	4	H3k36me3	1	0.8706251512137461
emissionprobs	1	5	H3k4me1	0	0.9501643585743967
emissionprobs	1	5	H3k4me1	1	0.04983564142560324
emissionprobs	1	6	H3k4me2	0	0.9990707069736989
emissionprobs	1	6	H3k4me2	1	9.292930263011251E-4
emissionprobs	1	7	H3k4me3	0	0.9993050453435587
emissionprobs	1	7	H3k4me3	1	6.949546564412527E-4
emissionprobs	1	8	H3k79me2	0	0.9802583687399944
emissionprobs	1	8	H3k79me2	1	0.019741631260005686
emissionprobs	1	9	H3k9ac	0	0.9985167295708378
emissionprobs	1	9	H3k9ac	1	0.0014832704291621915
emissionprobs	1	10	H3k9me3	0	0.9718596169839979
emissionprobs	1	10	H3k9me3	1	0.028140383016002034
emissionprobs	1	11	H4k20me1	0	0.9297124608417301
emissionprobs	1	11	H4k20me1	1	0.07028753915826992
emissionprobs	2	0	Dnase	0	0.8255835776832336
emissionprobs	2	0	Dnase	1	0.1744164223167664
emissionprobs	2	1	H2az	0	0.9827586817081648
emissionprobs	2	1	H2az	1	0.017241318291835117
emissionprobs	2	2	H3k27ac	0	0.9201405602319197
emissionprobs	2	2	H3k27ac	1	0.07985943976808026
emissionprobs	2	3	H3k27me3	0	0.9353244847866105
emissionprobs	2	3	H3k27me3	1	0.06467551521338961
emissionprobs	2	4	H3k36me3	0	0.18354752056995358
emissionprobs	2	4	H3k36me3	1	0.8164524794300465
emissionprobs	2	5	H3k4me1	0	0.8588446106956655
emissionprobs	2	5	H3k4me1	1	0.14115538930433452
emissionprobs	2	6	H3k4me2	0	0.982110307271301
emissionprobs	2	6	H3k4me2	1	0.01788969272869907
emissionprobs	2	7	H3k4me3	0	0.9631592059193181
emissionprobs	2	7	H3k4me3	1	0.03684079408068189
emissionprobs	2	8	H3k79me2	0	0.8813712066700393
emissionprobs	2	8	H3k79me2	1	0.11862879332996062
emissionprobs	2	9	H3k9ac	0	0.8222581677197518
emissionprobs	2	9	H3k9ac	1	0.17774183228024826
emissionprobs	2	10	H3k9me3	0	0.8743784298135933
emissionprobs	2	10	H3k9me3	1	0.12562157018640674
emissionprobs	2	11	H4k20me1	0	0.3204739372897573
emissionprobs	2	11	H4k20me1	1	0.6795260627102427
emissionprobs	3	0	Dnase	0	0.9784464802025091
emissionprobs	3	0	Dnase	1	0.021553519797490782
emissionprobs	3	1	H2az	0	0.9979582998677554
emissionprobs	3	1	H2az	1	0.0020417001322446207
emissionprobs	3	2	H3k27ac	0	0.9642306189357165
emissionprobs	3	2	H3k27ac	1	0.03576938106428359
emissionprobs	3	3	H3k27me3	0	0.999785193253753
emissionprobs	3	3	H3k27me3	1	2.148067462469199E-4
emissionprobs	3	4	H3k36me3	0	0.09169007069450459
emissionprobs	3	4	H3k36me3	1	0.9083099293054955
emissionprobs	3	5	H3k4me1	0	0.7753651177933646
emissionprobs	3	5	H3k4me1	1	0.22463488220663544
emissionprobs	3	6	H3k4me2	0	0.9902430586412766
emissionprobs	3	6	H3k4me2	1	0.009756941358723431
emissionprobs	3	7	H3k4me3	0	0.9989647738392156
emissionprobs	3	7	H3k4me3	1	0.0010352261607844892
emissionprobs	3	8	H3k79me2	0	0.02781704601216567
emissionprobs	3	8	H3k79me2	1	0.9721829539878343
emissionprobs	3	9	H3k9ac	0	0.9847586812834256
emissionprobs	3	9	H3k9ac	1	0.015241318716574309
emissionprobs	3	10	H3k9me3	0	0.9445350218988506
emissionprobs	3	10	H3k9me3	1	0.05546497810114939
emissionprobs	3	11	H4k20me1	0	0.5144614272622426
emissionprobs	3	11	H4k20me1	1	0.4855385727377574
emissionprobs	4	0	Dnase	0	0.9779510237313374
emissionprobs	4	0	Dnase	1	0.022048976268662725
emissionprobs	4	1	H2az	0	0.9949146709213043
emissionprobs	4	1	H2az	1	0.005085329078695828
emissionprobs	4	2	H3k27ac	0	0.973515976235664
emissionprobs	4	2	H3k27ac	1	0.026484023764336083
emissionprobs	4	3	H3k27me3	0	0.9983369496208735
emissionprobs	4	3	H3k27me3	1	0.0016630503791266172
emissionprobs	4	4	H3k36me3	0	0.9313316282968109
emissionprobs	4	4	H3k36me3	1	0.06866837170318915
emissionprobs	4	5	H3k4me1	0	0.7934619195158258
emissionprobs	4	5	H3k4me1	1	0.20653808048417413
emissionprobs	4	6	H3k4me2	0	0.9664559584591911
emissionprobs	4	6	H3k4me2	1	0.03354404154080887
emissionprobs	4	7	H3k4me3	0	0.9977299236056641
emissionprobs	4	7	H3k4me3	1	0.0022700763943357995
emissionprobs	4	8	H3k79me2	0	0.12498391874598841
emissionprobs	4	8	H3k79me2	1	0.8750160812540115
emissionprobs	4	9	H3k9ac	0	0.9989106982455013
emissionprobs	4	9	H3k9ac	1	0.0010893017544987657
emissionprobs	4	10	H3k9me3	0	0.9607098509036588
emissionprobs	4	10	H3k9me3	1	0.03929014909634126
emissionprobs	4	11	H4k20me1	0	0.6903748552248368
