state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.7714685096750089	0.009844409074889456	0.05326391596114106	0.010438424817410889	0.0325528634965166	0.025862517381037353	0.010197759980271925	0.008414485769197146	0.0010285527798687486	0.0014004474190219595	4.6755371713378275E-4	0.07359438821193862	1.7345060873100273E-5	5.498518115103588E-4	8.989748441802772E-4
2	0.0442359406004258	0.6669543559234932	0.029809972512478692	8.191125460892835E-4	0.05106314259294719	0.08082097637752368	0.00913657134086737	0.00623212878832233	0.027704133616778242	1.8626039267575676E-4	0.01608214365729817	0.05316895529725323	0.003293140348964349	0.010489834306354102	3.3316985285489353E-6
3	0.12942514511694045	0.014885805640069073	0.6100539260771848	0.02626712789778813	0.1290268123933015	0.08650901237839854	0.0	5.058875285734195E-4	1.7340188978522474E-5	7.999978257334647E-5	0.0	0.002464252786053525	1.8546205360628007E-4	3.58950111324419E-4	2.2027804520789127E-4
4	0.02784941442526088	5.443025370430269E-4	0.031946992148611554	0.7599659411370514	0.06850546161559153	0.05978407754460407	0.004053639035112711	6.720354987042465E-4	0.001935447753790765	0.0	5.835067695654208E-5	0.042370470538214584	0.0013290012798063211	7.923193498687758E-4	1.9254645938365222E-4
5	0.11728724725524506	0.036864658665500906	0.19764733610679294	0.08813065576249385	0.2735135208379846	0.24969877713830585	0.01403816990410162	0.005856404206389541	0.0025816684078996534	1.5648484943781493E-4	2.9780650912323485E-4	0.013898977039908684	0.0	1.4704167827286568E-5	1.3589148988933193E-5
6	0.06672785222622311	0.04190588633631975	0.10078884266806588	0.05913807121820026	0.1917446893407826	0.2441594118287052	0.06492882885355238	0.054685652551776674	0.027193306957207	0.021605158202932125	0.007925594378484224	0.1023223996644904	0.0016713165991079075	0.0026235028177518036	0.012579486356400651
7	0.02827774868666483	0.0055130545929601175	0.0	0.004528649991168653	0.012372840960261547	0.07899343152863182	0.20214449980277263	0.24877278568938158	0.00891690972938996	0.028428719275745223	0.006755346076320954	0.32106115518812256	4.3846059557105135E-4	0.005278412291787253	0.048517985591221745
8	0.012550686457059148	0.0016435993477599698	2.557848511760474E-4	3.2596519230346314E-4	0.002349182250405487	0.03558926019408056	0.1305727124745099	0.28508138981036263	0.012746412660691056	0.049732327167095844	0.006841994065791252	0.38675504206244565	0.018016227123501455	0.001224384620147626	0.05631503172266973
9	0.003967237991521864	0.023698391137480807	0.0	0.002515161225905264	0.0031479690730598117	0.04305560687406991	0.013087080650882777	0.03130086369523488	0.29261534446409426	0.17687214841708102	0.23534960318470663	0.12399056107766702	0.01927488658584375	0.007499948302013029	0.02362519732043905
10	5.196109894135409E-4	4.932140728802123E-6	1.9626000515635086E-5	0.0	0.0	0.004171225719148911	0.004447329615123034	0.014280970173346754	0.02002786742992874	0.8876149008978241	0.014515303600075908	0.03882631057730354	0.014355538368280364	5.004767433740636E-4	7.159077449365578E-4
11	5.689706675970104E-4	0.004124277973233549	4.992236806074696E-7	1.1911525969889714E-5	2.4247386944820017E-5	0.003510631032594699	0.0027352588282117036	0.005740760364323542	0.07625535810329613	0.04244939807021448	0.8415014898426042	0.020206628004376278	8.785730515155711E-5	0.0027257052517299495	5.7006420071696716E-5
12	0.024317245803796884	0.0035382855219521195	5.026095241307235E-4	0.004878993915185369	0.0013904902692606093	0.013598404519892382	0.03545745142979529	0.08095951077562817	0.01054353004143913	0.028856335769132036	0.0050930043314236905	0.781296784998543	0.006332192331969585	0.0012824706273919636	0.0019526901404590489
13	2.705340719047032E-8	1.4626751438976448E-4	8.0038149971122E-6	9.855711793642652E-5	0.0	1.2110022988938245E-4	6.0532224810789636E-5	0.00218192886520431	0.001009624246393388	0.0061968289994297435	7.712418683489624E-8	0.003950142554943458	0.9777479629008927	0.007518284291952033	9.606630615666179E-4
14	4.5528746365558487E-4	0.0017819226034839115	1.4648207815001906E-4	1.8280355621318287E-4	1.2372460382699568E-5	9.76795843500959E-4	0.0015512957890057297	7.16447987183975E-4	0.0014376281685879206	0.0010272360028010048	0.0016144772686429224	0.0024868154672336162	0.03080551938638988	0.9559501867599003	8.547291648680223E-4
15	3.672361199325316E-4	4.791164177924618E-5	7.976248355642397E-5	4.845259444765272E-5	1.6020253474494004E-5	0.0033604613219803373	0.010981250017521626	0.023616318938938063	0.004049941758525226	0.001180395320564379	6.464620783517753E-5	0.003826702348606458	0.00330043086482935	7.105633067196139E-4	0.9483499068212895
